"","Date","Time","Depth","points"
"104","2/23/2024",21:00:00,"5",2.584
"105","2/23/2024",21:00:00,"1",1.262
"106","2/23/2024",22:00:00,"33",3.168
"107","2/23/2024",22:00:00,"31",2.983
"108","2/23/2024",22:00:00,"29",3.009
"109","2/23/2024",22:00:00,"27",3.063
"110","2/23/2024",22:00:00,"25",2.903
"111","2/23/2024",22:00:00,"23",3.036
"112","2/23/2024",22:00:00,"21",2.983
"113","2/23/2024",22:00:00,"19",2.903
"114","2/23/2024",22:00:00,"17",2.956
"115","2/23/2024",22:00:00,"13",2.903
"116","2/23/2024",22:00:00,"11",2.903
"117","2/23/2024",22:00:00,"9",2.85
"118","2/23/2024",22:00:00,"7",2.77
"119","2/23/2024",22:00:00,"5",2.61
"120","2/23/2024",22:00:00,"1",1.262
"121","2/23/2024",23:00:00,"33",3.142
"122","2/23/2024",23:00:00,"31",2.983
"123","2/23/2024",23:00:00,"29",3.009
"124","2/23/2024",23:00:00,"27",3.063
"125","2/23/2024",23:00:00,"25",2.903
"126","2/23/2024",23:00:00,"23",3.009
"127","2/23/2024",23:00:00,"21",2.956
"128","2/23/2024",23:00:00,"19",2.903
"129","2/23/2024",23:00:00,"17",2.956
"130","2/23/2024",23:00:00,"13",2.903
"131","2/23/2024",23:00:00,"11",2.903
"132","2/23/2024",23:00:00,"9",2.85
"133","2/23/2024",23:00:00,"7",2.77
"134","2/23/2024",23:00:00,"5",2.61
"135","2/23/2024",23:00:00,"1",1.262
"136","2/24/2024",00:00:00,"33",3.142
"137","2/24/2024",00:00:00,"31",2.983
"138","2/24/2024",00:00:00,"29",3.009
"139","2/24/2024",00:00:00,"27",3.063
"140","2/24/2024",00:00:00,"25",2.903
"141","2/24/2024",00:00:00,"23",3.009
"142","2/24/2024",00:00:00,"21",2.956
"143","2/24/2024",00:00:00,"19",2.903
"144","2/24/2024",00:00:00,"17",2.956
"145","2/24/2024",00:00:00,"13",2.903
"146","2/24/2024",00:00:00,"11",2.903
"147","2/24/2024",00:00:00,"9",2.85
"148","2/24/2024",00:00:00,"7",2.744
"149","2/24/2024",00:00:00,"5",2.584
"150","2/24/2024",00:00:00,"1",1.262
"151","2/24/2024",01:00:00,"33",3.168
"152","2/24/2024",01:00:00,"31",2.983
"153","2/24/2024",01:00:00,"29",3.009
"154","2/24/2024",01:00:00,"27",3.063
"155","2/24/2024",01:00:00,"25",2.93
"156","2/24/2024",01:00:00,"23",3.009
"157","2/24/2024",01:00:00,"21",2.956
"158","2/24/2024",01:00:00,"19",2.877
"159","2/24/2024",01:00:00,"17",2.983
"160","2/24/2024",01:00:00,"13",2.903
"161","2/24/2024",01:00:00,"11",2.903
"162","2/24/2024",01:00:00,"9",2.85
"163","2/24/2024",01:00:00,"7",2.77
"164","2/24/2024",01:00:00,"5",2.584
"165","2/24/2024",01:00:00,"1",1.262
"166","2/24/2024",02:00:00,"33",3.168
"167","2/24/2024",02:00:00,"31",2.983
"168","2/24/2024",02:00:00,"29",3.009
"169","2/24/2024",02:00:00,"27",3.063
"170","2/24/2024",02:00:00,"25",2.903
"171","2/24/2024",02:00:00,"23",2.983
"172","2/24/2024",02:00:00,"21",2.93
"173","2/24/2024",02:00:00,"19",2.877
"174","2/24/2024",02:00:00,"17",2.956
"175","2/24/2024",02:00:00,"13",2.903
"176","2/24/2024",02:00:00,"11",2.903
"177","2/24/2024",02:00:00,"9",2.85
"178","2/24/2024",02:00:00,"7",2.77
"179","2/24/2024",02:00:00,"5",2.584
"180","2/24/2024",02:00:00,"1",1.262
"181","2/24/2024",03:00:00,"33",3.168
"182","2/24/2024",03:00:00,"31",2.983
"183","2/24/2024",03:00:00,"29",3.009
"184","2/24/2024",03:00:00,"27",3.063
"185","2/24/2024",03:00:00,"25",2.903
"186","2/24/2024",03:00:00,"23",3.009
"187","2/24/2024",03:00:00,"21",2.93
"188","2/24/2024",03:00:00,"19",2.903
"189","2/24/2024",03:00:00,"17",2.956
"190","2/24/2024",03:00:00,"13",2.903
"191","2/24/2024",03:00:00,"11",2.903
"192","2/24/2024",03:00:00,"9",2.85
"193","2/24/2024",03:00:00,"7",2.744
"194","2/24/2024",03:00:00,"5",2.584
"195","2/24/2024",03:00:00,"1",1.262
"196","2/24/2024",04:00:00,"33",3.168
"197","2/24/2024",04:00:00,"31",2.983
"198","2/24/2024",04:00:00,"29",3.009
"199","2/24/2024",04:00:00,"27",3.063
"200","2/24/2024",04:00:00,"25",2.903
"201","2/24/2024",04:00:00,"23",3.009
"202","2/24/2024",04:00:00,"21",2.93
"203","2/24/2024",04:00:00,"19",2.903
"204","2/24/2024",04:00:00,"17",2.956
"205","2/24/2024",04:00:00,"13",2.903
"206","2/24/2024",04:00:00,"11",2.903
"207","2/24/2024",04:00:00,"9",2.85
"208","2/24/2024",04:00:00,"7",2.744
"209","2/24/2024",04:00:00,"5",2.584
"210","2/24/2024",04:00:00,"1",1.262
"211","2/24/2024",05:00:00,"33",3.168
"212","2/24/2024",05:00:00,"31",2.983
"213","2/24/2024",05:00:00,"29",3.009
"214","2/24/2024",05:00:00,"27",3.063
"215","2/24/2024",05:00:00,"25",2.903
"216","2/24/2024",05:00:00,"23",3.009
"217","2/24/2024",05:00:00,"21",2.956
"218","2/24/2024",05:00:00,"19",2.903
"219","2/24/2024",05:00:00,"17",2.956
"220","2/24/2024",05:00:00,"13",2.903
"221","2/24/2024",05:00:00,"11",2.877
"222","2/24/2024",05:00:00,"9",2.85
"223","2/24/2024",05:00:00,"7",2.744
"224","2/24/2024",05:00:00,"5",2.584
"225","2/24/2024",05:00:00,"1",1.262
"226","2/24/2024",06:00:00,"33",3.195
"227","2/24/2024",06:00:00,"31",2.983
"228","2/24/2024",06:00:00,"29",3.009
"229","2/24/2024",06:00:00,"27",3.063
"230","2/24/2024",06:00:00,"25",2.903
"231","2/24/2024",06:00:00,"23",3.009
"232","2/24/2024",06:00:00,"21",2.983
"233","2/24/2024",06:00:00,"19",2.903
"234","2/24/2024",06:00:00,"17",2.956
"235","2/24/2024",06:00:00,"13",2.903
"236","2/24/2024",06:00:00,"11",2.877
"237","2/24/2024",06:00:00,"9",2.85
"238","2/24/2024",06:00:00,"7",2.744
"239","2/24/2024",06:00:00,"5",2.584
"240","2/24/2024",06:00:00,"1",1.262
"241","2/24/2024",07:00:00,"33",3.195
"242","2/24/2024",07:00:00,"31",2.983
"243","2/24/2024",07:00:00,"29",3.009
"244","2/24/2024",07:00:00,"27",3.036
"245","2/24/2024",07:00:00,"25",2.903
"246","2/24/2024",07:00:00,"23",3.009
"247","2/24/2024",07:00:00,"21",2.983
"248","2/24/2024",07:00:00,"19",2.903
"249","2/24/2024",07:00:00,"17",2.956
"250","2/24/2024",07:00:00,"13",2.903
"251","2/24/2024",07:00:00,"11",2.877
"252","2/24/2024",07:00:00,"9",2.85
"253","2/24/2024",07:00:00,"7",2.744
"254","2/24/2024",07:00:00,"5",2.584
"255","2/24/2024",07:00:00,"1",1.262
"256","2/24/2024",08:00:00,"33",3.195
"257","2/24/2024",08:00:00,"31",2.983
"258","2/24/2024",08:00:00,"29",3.036
"259","2/24/2024",08:00:00,"27",3.063
"260","2/24/2024",08:00:00,"25",2.903
"261","2/24/2024",08:00:00,"23",3.009
"262","2/24/2024",08:00:00,"21",2.983
"263","2/24/2024",08:00:00,"19",2.903
"264","2/24/2024",08:00:00,"17",2.956
"265","2/24/2024",08:00:00,"13",2.903
"266","2/24/2024",08:00:00,"11",2.877
"267","2/24/2024",08:00:00,"9",2.85
"268","2/24/2024",08:00:00,"7",2.744
"269","2/24/2024",08:00:00,"5",2.584
"270","2/24/2024",08:00:00,"1",1.262
"271","2/24/2024",09:00:00,"33",3.195
"272","2/24/2024",09:00:00,"31",2.983
"273","2/24/2024",09:00:00,"29",3.036
"274","2/24/2024",09:00:00,"27",3.063
"275","2/24/2024",09:00:00,"25",2.903
"276","2/24/2024",09:00:00,"23",3.009
"277","2/24/2024",09:00:00,"21",2.983
"278","2/24/2024",09:00:00,"19",2.903
"279","2/24/2024",09:00:00,"17",2.983
"280","2/24/2024",09:00:00,"13",2.903
"281","2/24/2024",09:00:00,"11",2.877
"282","2/24/2024",09:00:00,"9",2.85
"283","2/24/2024",09:00:00,"7",2.77
"284","2/24/2024",09:00:00,"5",2.584
"285","2/24/2024",09:00:00,"1",1.262
"286","2/24/2024",10:00:00,"33",3.168
"287","2/24/2024",10:00:00,"31",2.983
"288","2/24/2024",10:00:00,"29",3.036
"289","2/24/2024",10:00:00,"27",3.036
"290","2/24/2024",10:00:00,"25",2.93
"291","2/24/2024",10:00:00,"23",3.009
"292","2/24/2024",10:00:00,"21",2.983
"293","2/24/2024",10:00:00,"19",2.903
"294","2/24/2024",10:00:00,"17",2.983
"295","2/24/2024",10:00:00,"13",2.903
"296","2/24/2024",10:00:00,"11",2.877
"297","2/24/2024",10:00:00,"9",2.85
"298","2/24/2024",10:00:00,"7",2.77
"299","2/24/2024",10:00:00,"5",2.584
"300","2/24/2024",10:00:00,"1",1.262
"301","2/24/2024",11:00:00,"33",3.195
"302","2/24/2024",11:00:00,"31",2.983
"303","2/24/2024",11:00:00,"29",3.036
"304","2/24/2024",11:00:00,"27",3.063
"305","2/24/2024",11:00:00,"25",2.903
"306","2/24/2024",11:00:00,"23",3.009
"307","2/24/2024",11:00:00,"21",2.983
"308","2/24/2024",11:00:00,"19",2.903
"309","2/24/2024",11:00:00,"17",2.983
"310","2/24/2024",11:00:00,"13",2.903
"311","2/24/2024",11:00:00,"11",2.877
"312","2/24/2024",11:00:00,"9",2.85
"313","2/24/2024",11:00:00,"7",2.77
"314","2/24/2024",11:00:00,"5",2.61
"315","2/24/2024",11:00:00,"1",1.262
"316","2/24/2024",12:00:00,"33",3.195
"317","2/24/2024",12:00:00,"31",2.983
"318","2/24/2024",12:00:00,"29",3.036
"319","2/24/2024",12:00:00,"27",3.063
"320","2/24/2024",12:00:00,"25",2.903
"321","2/24/2024",12:00:00,"23",3.036
"322","2/24/2024",12:00:00,"21",2.956
"323","2/24/2024",12:00:00,"19",2.903
"324","2/24/2024",12:00:00,"17",2.983
"325","2/24/2024",12:00:00,"13",2.903
"326","2/24/2024",12:00:00,"11",2.877
"327","2/24/2024",12:00:00,"9",2.85
"328","2/24/2024",12:00:00,"7",2.77
"329","2/24/2024",12:00:00,"5",2.61
"330","2/24/2024",12:00:00,"1",1.262
"331","2/24/2024",13:00:00,"33",3.168
"332","2/24/2024",13:00:00,"31",2.983
"333","2/24/2024",13:00:00,"29",3.036
"334","2/24/2024",13:00:00,"27",3.063
"335","2/24/2024",13:00:00,"25",2.903
"336","2/24/2024",13:00:00,"23",3.036
"337","2/24/2024",13:00:00,"21",2.983
"338","2/24/2024",13:00:00,"19",2.903
"339","2/24/2024",13:00:00,"17",2.983
"340","2/24/2024",13:00:00,"13",2.903
"341","2/24/2024",13:00:00,"11",2.877
"342","2/24/2024",13:00:00,"9",2.85
"343","2/24/2024",13:00:00,"7",2.77
"344","2/24/2024",13:00:00,"5",2.61
"345","2/24/2024",13:00:00,"1",1.262
"346","2/24/2024",14:00:00,"33",3.168
"347","2/24/2024",14:00:00,"31",2.983
"348","2/24/2024",14:00:00,"29",3.009
"349","2/24/2024",14:00:00,"27",3.063
"350","2/24/2024",14:00:00,"25",2.903
"351","2/24/2024",14:00:00,"23",3.036
"352","2/24/2024",14:00:00,"21",2.983
"353","2/24/2024",14:00:00,"19",2.903
"354","2/24/2024",14:00:00,"17",2.983
"355","2/24/2024",14:00:00,"13",2.903
"356","2/24/2024",14:00:00,"11",2.85
"357","2/24/2024",14:00:00,"9",2.85
"358","2/24/2024",14:00:00,"7",2.77
"359","2/24/2024",14:00:00,"5",2.61
"360","2/24/2024",14:00:00,"1",1.262
"361","2/24/2024",15:00:00,"33",3.168
"362","2/24/2024",15:00:00,"31",2.983
"363","2/24/2024",15:00:00,"29",3.009
"364","2/24/2024",15:00:00,"27",3.063
"365","2/24/2024",15:00:00,"25",2.903
"366","2/24/2024",15:00:00,"23",3.036
"367","2/24/2024",15:00:00,"21",2.983
"368","2/24/2024",15:00:00,"19",2.903
"369","2/24/2024",15:00:00,"17",2.983
"370","2/24/2024",15:00:00,"13",2.903
"371","2/24/2024",15:00:00,"11",2.877
"372","2/24/2024",15:00:00,"9",2.85
"373","2/24/2024",15:00:00,"7",2.77
"374","2/24/2024",15:00:00,"5",2.61
"375","2/24/2024",15:00:00,"1",1.262
"376","2/24/2024",16:00:00,"33",3.168
"377","2/24/2024",16:00:00,"31",2.983
"378","2/24/2024",16:00:00,"29",3.009
"379","2/24/2024",16:00:00,"27",3.063
"380","2/24/2024",16:00:00,"25",2.903
"381","2/24/2024",16:00:00,"23",3.036
"382","2/24/2024",16:00:00,"21",2.983
"383","2/24/2024",16:00:00,"19",2.903
"384","2/24/2024",16:00:00,"17",2.983
"385","2/24/2024",16:00:00,"13",2.903
"386","2/24/2024",16:00:00,"11",2.877
"387","2/24/2024",16:00:00,"9",2.85
"388","2/24/2024",16:00:00,"7",2.744
"389","2/24/2024",16:00:00,"5",2.584
"390","2/24/2024",16:00:00,"1",1.262
"391","2/24/2024",17:00:00,"33",3.168
"392","2/24/2024",17:00:00,"31",2.983
"393","2/24/2024",17:00:00,"29",3.009
"394","2/24/2024",17:00:00,"27",3.063
"395","2/24/2024",17:00:00,"25",2.903
"396","2/24/2024",17:00:00,"23",3.009
"397","2/24/2024",17:00:00,"21",2.983
"398","2/24/2024",17:00:00,"19",2.903
"399","2/24/2024",17:00:00,"17",2.983
"400","2/24/2024",17:00:00,"13",2.903
"401","2/24/2024",17:00:00,"11",2.877
"402","2/24/2024",17:00:00,"9",2.85
"403","2/24/2024",17:00:00,"7",2.744
"404","2/24/2024",17:00:00,"5",2.584
"405","2/24/2024",17:00:00,"1",1.235
"406","2/24/2024",18:00:00,"33",3.142
"407","2/24/2024",18:00:00,"31",2.983
"408","2/24/2024",18:00:00,"29",3.036
"409","2/24/2024",18:00:00,"27",3.063
"410","2/24/2024",18:00:00,"25",2.903
"411","2/24/2024",18:00:00,"23",3.009
"412","2/24/2024",18:00:00,"21",2.983
"413","2/24/2024",18:00:00,"19",2.93
"414","2/24/2024",18:00:00,"17",2.983
"415","2/24/2024",18:00:00,"13",2.903
"416","2/24/2024",18:00:00,"11",2.877
"417","2/24/2024",18:00:00,"9",2.85
"418","2/24/2024",18:00:00,"7",2.744
"419","2/24/2024",18:00:00,"5",2.584
"420","2/24/2024",18:00:00,"1",1.262
"421","2/24/2024",19:00:00,"33",3.168
"422","2/24/2024",19:00:00,"31",2.983
"423","2/24/2024",19:00:00,"29",3.009
"424","2/24/2024",19:00:00,"27",3.063
"425","2/24/2024",19:00:00,"25",2.903
"426","2/24/2024",19:00:00,"23",3.009
"427","2/24/2024",19:00:00,"21",2.983
"428","2/24/2024",19:00:00,"19",2.903
"429","2/24/2024",19:00:00,"17",2.983
"430","2/24/2024",19:00:00,"13",2.93
"431","2/24/2024",19:00:00,"11",2.903
"432","2/24/2024",19:00:00,"9",2.85
"433","2/24/2024",19:00:00,"7",2.744
"434","2/24/2024",19:00:00,"5",2.584
"435","2/24/2024",19:00:00,"1",1.262
"436","2/24/2024",20:00:00,"33",3.168
"437","2/24/2024",20:00:00,"31",2.983
"438","2/24/2024",20:00:00,"29",3.036
"439","2/24/2024",20:00:00,"27",3.063
"440","2/24/2024",20:00:00,"25",2.903
"441","2/24/2024",20:00:00,"23",3.009
"442","2/24/2024",20:00:00,"21",2.983
"443","2/24/2024",20:00:00,"19",2.903
"444","2/24/2024",20:00:00,"17",2.956
"445","2/24/2024",20:00:00,"13",2.903
"446","2/24/2024",20:00:00,"11",2.903
"447","2/24/2024",20:00:00,"9",2.85
"448","2/24/2024",20:00:00,"7",2.744
"449","2/24/2024",20:00:00,"5",2.557
"450","2/24/2024",20:00:00,"1",1.235
"451","2/24/2024",21:00:00,"33",3.168
"452","2/24/2024",21:00:00,"31",2.983
"453","2/24/2024",21:00:00,"29",3.009
"454","2/24/2024",21:00:00,"27",3.063
"455","2/24/2024",21:00:00,"25",2.903
"456","2/24/2024",21:00:00,"23",3.009
"457","2/24/2024",21:00:00,"21",2.983
"458","2/24/2024",21:00:00,"19",2.903
"459","2/24/2024",21:00:00,"17",2.956
"460","2/24/2024",21:00:00,"13",2.93
"461","2/24/2024",21:00:00,"11",2.903
"462","2/24/2024",21:00:00,"9",2.85
"463","2/24/2024",21:00:00,"7",2.77
"464","2/24/2024",21:00:00,"5",2.584
"465","2/24/2024",21:00:00,"1",1.262
"466","2/24/2024",22:00:00,"33",3.168
"467","2/24/2024",22:00:00,"31",2.983
"468","2/24/2024",22:00:00,"29",3.009
"469","2/24/2024",22:00:00,"27",3.063
"470","2/24/2024",22:00:00,"25",2.903
"471","2/24/2024",22:00:00,"23",3.009
"472","2/24/2024",22:00:00,"21",2.983
"473","2/24/2024",22:00:00,"19",2.903
"474","2/24/2024",22:00:00,"17",2.956
"475","2/24/2024",22:00:00,"13",2.903
"476","2/24/2024",22:00:00,"11",2.903
"477","2/24/2024",22:00:00,"9",2.823
"478","2/24/2024",22:00:00,"7",2.77
"479","2/24/2024",22:00:00,"5",2.584
"480","2/24/2024",22:00:00,"1",1.235
"481","2/24/2024",23:00:00,"33",3.168
"482","2/24/2024",23:00:00,"31",2.983
"483","2/24/2024",23:00:00,"29",3.009
"484","2/24/2024",23:00:00,"27",3.063
"485","2/24/2024",23:00:00,"25",2.903
"486","2/24/2024",23:00:00,"23",3.009
"487","2/24/2024",23:00:00,"21",2.983
"488","2/24/2024",23:00:00,"19",2.903
"489","2/24/2024",23:00:00,"17",2.956
"490","2/24/2024",23:00:00,"13",2.903
"491","2/24/2024",23:00:00,"11",2.903
"492","2/24/2024",23:00:00,"9",2.823
"493","2/24/2024",23:00:00,"7",2.77
"494","2/24/2024",23:00:00,"5",2.584
"495","2/24/2024",23:00:00,"1",1.262
"496","2/25/2024",00:00:00,"33",3.168
"497","2/25/2024",00:00:00,"31",2.983
"498","2/25/2024",00:00:00,"29",3.009
"499","2/25/2024",00:00:00,"27",3.063
"500","2/25/2024",00:00:00,"25",2.903
"501","2/25/2024",00:00:00,"23",3.009
"502","2/25/2024",00:00:00,"21",2.983
"503","2/25/2024",00:00:00,"19",2.903
"504","2/25/2024",00:00:00,"17",2.956
"505","2/25/2024",00:00:00,"13",2.903
"506","2/25/2024",00:00:00,"11",2.903
"507","2/25/2024",00:00:00,"9",2.85
"508","2/25/2024",00:00:00,"7",2.77
"509","2/25/2024",00:00:00,"5",2.584
"510","2/25/2024",00:00:00,"1",1.235
"511","2/25/2024",01:00:00,"33",3.168
"512","2/25/2024",01:00:00,"31",2.983
"513","2/25/2024",01:00:00,"29",3.009
"514","2/25/2024",01:00:00,"27",3.063
"515","2/25/2024",01:00:00,"25",2.903
"516","2/25/2024",01:00:00,"23",3.009
"517","2/25/2024",01:00:00,"21",2.983
"518","2/25/2024",01:00:00,"19",2.903
"519","2/25/2024",01:00:00,"17",2.956
"520","2/25/2024",01:00:00,"13",2.903
"521","2/25/2024",01:00:00,"11",2.903
"522","2/25/2024",01:00:00,"9",2.85
"523","2/25/2024",01:00:00,"7",2.77
"524","2/25/2024",01:00:00,"5",2.584
"525","2/25/2024",01:00:00,"1",1.262
"526","2/25/2024",02:00:00,"33",3.168
"527","2/25/2024",02:00:00,"31",2.983
"528","2/25/2024",02:00:00,"29",3.009
"529","2/25/2024",02:00:00,"27",3.036
"530","2/25/2024",02:00:00,"25",2.903
"531","2/25/2024",02:00:00,"23",3.009
"532","2/25/2024",02:00:00,"21",2.983
"533","2/25/2024",02:00:00,"19",2.903
"534","2/25/2024",02:00:00,"17",2.956
"535","2/25/2024",02:00:00,"13",2.903
"536","2/25/2024",02:00:00,"11",2.903
"537","2/25/2024",02:00:00,"9",2.85
"538","2/25/2024",02:00:00,"7",2.77
"539","2/25/2024",02:00:00,"5",2.584
"540","2/25/2024",02:00:00,"1",1.235
"541","2/25/2024",03:00:00,"33",3.142
"542","2/25/2024",03:00:00,"31",2.983
"543","2/25/2024",03:00:00,"29",3.009
"544","2/25/2024",03:00:00,"27",3.036
"545","2/25/2024",03:00:00,"25",2.903
"546","2/25/2024",03:00:00,"23",3.009
"547","2/25/2024",03:00:00,"21",2.983
"548","2/25/2024",03:00:00,"19",2.903
"549","2/25/2024",03:00:00,"17",2.956
"550","2/25/2024",03:00:00,"13",2.903
"551","2/25/2024",03:00:00,"11",2.903
"552","2/25/2024",03:00:00,"9",2.877
"553","2/25/2024",03:00:00,"7",2.77
"554","2/25/2024",03:00:00,"5",2.584
"555","2/25/2024",03:00:00,"1",1.235
"556","2/25/2024",04:00:00,"33",3.142
"557","2/25/2024",04:00:00,"31",2.983
"558","2/25/2024",04:00:00,"29",3.009
"559","2/25/2024",04:00:00,"27",3.036
"560","2/25/2024",04:00:00,"25",2.903
"561","2/25/2024",04:00:00,"23",3.009
"562","2/25/2024",04:00:00,"21",2.983
"563","2/25/2024",04:00:00,"19",2.903
"564","2/25/2024",04:00:00,"17",2.956
"565","2/25/2024",04:00:00,"13",2.903
"566","2/25/2024",04:00:00,"11",2.903
"567","2/25/2024",04:00:00,"9",2.877
"568","2/25/2024",04:00:00,"7",2.77
"569","2/25/2024",04:00:00,"5",2.584
"570","2/25/2024",04:00:00,"1",1.235
"571","2/25/2024",05:00:00,"33",3.142
"572","2/25/2024",05:00:00,"31",2.983
"573","2/25/2024",05:00:00,"29",3.036
"574","2/25/2024",05:00:00,"27",3.063
"575","2/25/2024",05:00:00,"25",2.903
"576","2/25/2024",05:00:00,"23",3.009
"577","2/25/2024",05:00:00,"21",2.983
"578","2/25/2024",05:00:00,"19",2.877
"579","2/25/2024",05:00:00,"17",2.956
"580","2/25/2024",05:00:00,"13",2.903
"581","2/25/2024",05:00:00,"11",2.903
"582","2/25/2024",05:00:00,"9",2.877
"583","2/25/2024",05:00:00,"7",2.77
"584","2/25/2024",05:00:00,"5",2.584
"585","2/25/2024",05:00:00,"1",1.235
"586","2/25/2024",06:00:00,"33",3.142
"587","2/25/2024",06:00:00,"31",2.983
"588","2/25/2024",06:00:00,"29",3.036
"589","2/25/2024",06:00:00,"27",3.063
"590","2/25/2024",06:00:00,"25",2.903
"591","2/25/2024",06:00:00,"23",3.009
"592","2/25/2024",06:00:00,"21",2.983
"593","2/25/2024",06:00:00,"19",2.877
"594","2/25/2024",06:00:00,"17",2.956
"595","2/25/2024",06:00:00,"13",2.903
"596","2/25/2024",06:00:00,"11",2.903
"597","2/25/2024",06:00:00,"9",2.877
"598","2/25/2024",06:00:00,"7",2.77
"599","2/25/2024",06:00:00,"5",2.584
"600","2/25/2024",06:00:00,"1",1.235
"601","2/25/2024",07:00:00,"33",3.142
"602","2/25/2024",07:00:00,"31",2.983
"603","2/25/2024",07:00:00,"29",3.036
"604","2/25/2024",07:00:00,"27",3.063
"605","2/25/2024",07:00:00,"25",2.903
"606","2/25/2024",07:00:00,"23",3.009
"607","2/25/2024",07:00:00,"21",2.983
